"checkbox-themes","radio-consulter-offres-publiques","radio-rejoindre","checkbox-pourquoi","checkbox-souhaits","radio-type-contrat","radio-lieu","text-lieu","number-salaire-min","number-salaire-souhait","checkbox-acceptation","text-condition","radio-genre","radio-metiers","text-autre-metier","number-experience","date"
"Affaires étrangères, Défense, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude, Interministériel","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien, Pour ne pas faire uniquement des tâches techniques","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Rennes et sa région","3000","3500","Pouvoir travailler à 80-100% en télétravail, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Data scientist","","10","2019-07-02T11:03:10+00:00"
"Écologie, Agriculture et alimentation","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","CDI","En métropole","En Alsace, Strasbourg","2500","2800","Pouvoir travailler 1-2 jours par semaine en télétravail, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil)","","Un homme","Développement fullstack","","11","2019-07-02T10:45:05+00:00"
"Écologie, Culture, Agriculture et alimentation","Oui","Non","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","Toulouse","2000","3000","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","8","2019-07-02T10:39:30+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Villejuif","3000","3500","Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement fullstack","","19","2019-07-02T10:24:25+00:00"
"Écologie, Défense, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère","CDI","En région parisienne","","2600","2800","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","Product owner","3","2019-07-02T10:19:42+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Économie, Éducation nationale, Renseignement, lutte contre la fraude","Non","Non","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","Paris","4000","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement backend","","11","2019-07-02T09:59:53+00:00"
"Défense, Sécurité / secours","Non","Oui","Pour avoir un travail stable","Au sein d'un ministère, Au sein d'un département","CDI","En région parisienne","","3500","4700","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil)","","Un homme","Communication","","17","2019-07-02T09:33:57+00:00"
"Écologie, Affaires étrangères, Éducation nationale, Culture, Sports","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'une commune","CDI","En métropole","Bretagne","3000","3400","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles","","Un homme","Autre","Conseil Données / transformation numérique ","10","2019-07-02T08:25:37+00:00"
"Enseignement supérieur et recherche","Non","Je ne sais pas","Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région","CDD (2-3 ans)","En métropole","","3500","4000","Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Data scientist","","15","2019-07-02T07:55:47+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Culture, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","","4000","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Product management","","20","2019-07-02T07:55:44+00:00"
"Écologie, Affaires étrangères, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère","CDI","En région parisienne","","3000","3500","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous MacOS, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Product management","","8","2019-07-02T07:52:06+00:00"
"Économie, Renseignement, lutte contre la fraude","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Pour réorienter ma carrière","Au sein d'un ministère","CDI","En région parisienne","","4500","4500","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Travailler en méthodes agiles","","Un homme","Data scientist","Physicien","3","2019-07-02T07:43:02+00:00"
"Écologie, Défense, Économie, Sports","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère","CDI","En région parisienne","Paris ou Oise.","3000","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","Etre dans un environnement dynamique, s'affranchir des lourdeurs de l'administration pour faire bouger les choses.","Un homme","Développement fullstack","Dev full stack + Gestion de projet","11","2019-07-02T07:36:52+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Sports, Sécurité / secours, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","","3000","3300","Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","Chef de projet SI/SIG | urbaniste/architecte SI","17","2019-07-02T07:33:50+00:00"
"Écologie, Culture, Sports","Oui","Oui","Donner du sens à mon travail","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Meurthe et Moselle","2500","2800","Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Communication","Marketing digital","20","2019-07-02T07:33:10+00:00"
"Agriculture et alimentation","Oui","Oui","Servir l'intérêt général","Au sein d'une région","CDI","En métropole","Creuse","1500","2000","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail","","Une femme","Autre","chargé de mission open data","15","2019-07-02T07:30:18+00:00"
"Écologie, Éducation nationale, Culture, Agriculture et alimentation","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","Amiens, ou remote","2500","3000","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","11","2019-07-02T07:24:47+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Ille et vilaine","2300","2600","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Autre","Que la totalité de mon expérience soit reconnue, et non pas la moitié seulement (je viens de refuser un poste dans la fonction publique à cause de ça...)","Un homme","Développement fullstack","","10","2019-07-02T07:23:51+00:00"
